GENDER,CAR,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FAMILY SIZE,AGE,INCOME,SOCIAL_STABILITY,SOCIAL_EXPOSURE,SOCIAL_QUALITY,LOAN_SOCIAL_VAR,LOAN_APPROVAL
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,29263,0.32,0.21,0.1,0.001023,0
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,24407,0.37,0.11,0.03,0.032364,0
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,56246,0.37,0.12,0.87,0.01792,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,40994,0.37,0.56,0.1,0.001953,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,36726,0.31,0.21,0.03,0.030624,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,58843,0.31,0.11,0.87,0.00384,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,54365,0.31,0.12,0.1,0.005376,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,43883,0.31,0.56,0.03,0.058464,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,47277,0.31,0.21,0.87,0.00341,1
F,N,Working,Secondary / secondary special,Widow,House / apartment,2,43,54196,0.31,0.11,0.1,0.001116,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,54471,0.31,0.12,0.03,0.155904,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,34012,0.32,0.56,0.87,0.00777,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,21936,0.31,0.21,0.1,0.001221,0
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,36255,0.32,0.11,0.03,0.038628,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,33766,0.32,0.12,0.87,0.01736,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,40706,0.32,0.56,0.1,0.001953,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,47774,0.32,0.21,0.03,0.029667,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,52604,0.32,0.11,0.87,0.00372,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,24,52334,0.31,0.12,0.1,0.005208,1
F,Y,Working,Higher education,Married,With parents,2,31,47921,0.31,0.56,0.03,0.056637,1
F,Y,Working,Higher education,Married,With parents,2,31,57785,0.32,0.21,0.87,0.00341,1
F,Y,Working,Higher education,Married,With parents,2,31,25441,0.37,0.11,0.1,0.001152,0
F,Y,Working,Higher education,Married,With parents,2,31,51914,0.37,0.12,0.87,0.00672,1
F,Y,Working,Higher education,Married,With parents,2,31,38654,0.31,0.56,0.1,0.001056,1
F,Y,Working,Higher education,Married,With parents,2,31,20311,0.31,0.21,0.03,0.033408,0
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,47,28424,0.31,0.11,0.87,0.01792,0
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,47,47856,0.31,0.12,0.1,0.001953,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,47,36163,0.31,0.56,0.03,0.029667,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,27,23626,0.31,0.21,0.87,0.00384,0
F,N,Working,Secondary / secondary special,Married,House / apartment,3,27,56601,0.31,0.11,0.1,0.006216,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,27,36552,0.32,0.12,0.03,0.067599,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,27,34355,0.31,0.56,0.87,0.00407,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,37,53613,0.32,0.21,0.1,0.001116,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,37,40595,0.32,0.11,0.03,0.151032,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,37,56758,0.32,0.12,0.87,0.00651,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,37,54480,0.31,0.56,0.1,0.001023,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,37,31449,0.37,0.21,0.03,0.032364,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,43,30391,0.37,0.11,0.87,0.01736,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,43,29040,0.37,0.12,0.1,0.001953,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,43,35917,0.31,0.56,0.03,0.030624,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,43,57411,0.31,0.21,0.87,0.00372,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,43,23474,0.31,0.11,0.1,0.005376,0
F,N,Working,Secondary / secondary special,Married,With parents,4,34,36415,0.31,0.12,0.03,0.058464,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,32211,0.31,0.56,0.87,0.00352,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,36769,0.32,0.21,0.1,0.001152,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,24081,0.31,0.11,0.03,0.151032,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,50442,0.32,0.12,0.87,0.00651,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,49122,0.32,0.56,0.1,0.001056,1
F,Y,Commercial associate,Higher education,Married,House / apartment,4,37,48325,0.32,0.21,0.03,0.038628,1
M,Y,Commercial associate,Secondary / secondary special,Unmarried,House / apartment,2,31,46212,0.31,0.11,0.87,0.02072,1
M,Y,Commercial associate,Secondary / secondary special,Unmarried,House / apartment,2,31,52888,0.37,0.12,0.1,0.002331,1
M,Y,Commercial associate,Secondary / secondary special,Unmarried,House / apartment,2,31,22980,0.37,0.56,0.03,0.029667,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,39,56130,0.37,0.21,0.87,0.00372,1
F,N,Working,Secondary / secondary special,Divorced,House / apartment,1,54,38283,0.32,0.11,0.1,0.005208,1
F,N,Working,Secondary / secondary special,Divorced,House / apartment,1,54,30790,0.32,0.12,0.03,0.056637,1
F,N,Working,Secondary / secondary special,Married,House / apartment,4,35,29135,0.31,0.56,0.87,0.00341,0
F,N,Working,Secondary / secondary special,Married,House / apartment,4,35,58422,0.31,0.21,0.1,0.001116,1
M,N,Working,Higher education,Married,House / apartment,3,48,54317,0.32,0.11,0.03,0.151032,1
F,N,Working,Secondary / secondary special,Divorced,With parents,2,28,27653,0.37,0.12,0.87,0.00672,0
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,2,34,57237,0.37,0.56,0.1,0.001023,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,31,41567,0.37,0.21,0.03,0.033408,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,31,51833,0.31,0.11,0.87,0.01792,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,31,26924,0.31,0.12,0.1,0.002016,0
F,Y,Commercial associate,Secondary / secondary special,Married,Municipal apartment,2,58,27295,0.31,0.56,0.03,0.030624,0
F,Y,Commercial associate,Secondary / secondary special,Married,Municipal apartment,2,58,44662,0.31,0.21,0.87,0.00372,1
M,Y,Working,Higher education,Married,House / apartment,4,46,20820,0.31,0.11,0.1,0.005208,0
M,Y,Working,Higher education,Married,House / apartment,4,46,37232,0.31,0.12,0.03,0.058464,1
M,Y,Working,Higher education,Married,House / apartment,4,46,38934,0.31,0.56,0.87,0.00407,1
M,Y,Working,Higher education,Married,House / apartment,4,46,28737,0.32,0.21,0.1,0.001332,0
M,Y,Working,Higher education,Married,House / apartment,4,46,55136,0.31,0.11,0.03,0.180264,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,21562,0.32,0.12,0.87,0.00651,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,33260,0.32,0.56,0.1,0.001023,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,58342,0.31,0.21,0.03,0.032364,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,42,40080,0.31,0.11,0.87,0.01736,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,31,43044,0.32,0.12,0.1,0.001953,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,31,22846,0.37,0.56,0.03,0.029667,0
F,N,Commercial associate,Higher education,Married,House / apartment,2,31,31159,0.37,0.21,0.87,0.00372,1
F,N,Commercial associate,Higher education,Married,House / apartment,2,31,42968,0.37,0.11,0.1,0.005376,1
F,N,Commercial associate,Secondary / secondary special,Married,With parents,2,31,31873,0.31,0.12,0.03,0.056637,1
F,N,Commercial associate,Secondary / secondary special,Married,With parents,2,31,51625,0.31,0.56,0.87,0.00352,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,58871,0.31,0.21,0.1,0.001152,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,22922,0.31,0.11,0.03,0.155904,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,39359,0.31,0.12,0.87,0.00672,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,35423,0.31,0.56,0.1,0.001056,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,48,56036,0.31,0.21,0.03,0.032364,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,48,32828,0.32,0.11,0.87,0.01736,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,48,30531,0.31,0.12,0.1,0.002016,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,48,42829,0.32,0.56,0.03,0.035409,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,48,43793,0.32,0.21,0.87,0.00444,1
M,Y,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,23,49233,0.32,0.11,0.1,0.006216,1
M,Y,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,23,20252,0.32,0.12,0.03,0.056637,1
M,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,28,46906,0.31,0.56,0.87,0.00341,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,35,25672,0.31,0.21,0.1,0.001116,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,35,20468,0.32,0.11,0.03,0.151032,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,3,35,52713,0.37,0.12,0.87,0.00651,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,48,57862,0.37,0.56,0.1,0.001023,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,48,30382,0.37,0.21,0.03,0.032364,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,48,50670,0.31,0.11,0.87,0.01792,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,48,55785,0.31,0.12,0.1,0.001953,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,48,56261,0.31,0.56,0.03,0.030624,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,58,20025,0.31,0.21,0.87,0.00384,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,2,58,40764,0.31,0.11,0.1,0.005376,1
F,Y,Working,Secondary / secondary special,Single / not married,House / apartment,1,36,36766,0.31,0.12,0.03,0.056637,1
M,Y,Commercial associate,Incomplete higher,Unmarried,House / apartment,2,29,25329,0.31,0.56,0.87,0.00407,0
M,Y,Commercial associate,Incomplete higher,Unmarried,House / apartment,2,29,36686,0.32,0.21,0.1,0.001332,1
M,Y,Commercial associate,Incomplete higher,Unmarried,House / apartment,2,29,26147,0.31,0.11,0.03,0.180264,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,58,39434,0.32,0.12,0.87,0.00651,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,58,50338,0.32,0.56,0.1,0.001023,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,58,48638,0.32,0.21,0.03,0.032364,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,25831,0.32,0.11,0.87,0.01736,0
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,45710,0.31,0.12,0.1,0.001953,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,39904,0.31,0.56,0.03,0.030624,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,41084,0.32,0.21,0.87,0.00372,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,49012,0.37,0.11,0.1,0.005376,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,36453,0.37,0.12,0.03,0.058464,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,52903,0.37,0.56,0.87,0.00352,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,24634,0.31,0.21,0.1,0.001116,0
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,46990,0.31,0.11,0.03,0.180264,1
M,Y,Commercial associate,Secondary / secondary special,Married,With parents,2,46,20794,0.31,0.12,0.87,0.00777,0
F,N,Commercial associate,Higher education,Unmarried,House / apartment,2,47,53580,0.31,0.56,0.1,0.001221,1
F,N,Commercial associate,Higher education,Unmarried,House / apartment,2,47,59548,0.31,0.21,0.03,0.033408,1
M,N,Working,Secondary / secondary special,Married,House / apartment,3,34,43188,0.31,0.11,0.87,0.01792,1
M,N,Working,Secondary / secondary special,Married,House / apartment,3,34,53471,0.31,0.12,0.1,0.001953,1
M,N,Working,Secondary / secondary special,Married,House / apartment,3,34,42884,0.32,0.56,0.03,0.029667,1
M,N,Working,Secondary / secondary special,Married,House / apartment,3,34,21556,0.31,0.21,0.87,0.00384,0
F,N,Commercial associate,Higher education,Widow,House / apartment,1,54,50564,0.32,0.11,0.1,0.006216,1
F,N,Working,Higher education,Married,House / apartment,4,27,32506,0.32,0.12,0.03,0.067599,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,37257,0.32,0.56,0.87,0.00407,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,34539,0.32,0.21,0.1,0.001116,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,31696,0.31,0.11,0.03,0.151032,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,29044,0.31,0.12,0.87,0.00651,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,27218,0.32,0.56,0.1,0.001023,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,34,32458,0.37,0.21,0.03,0.032364,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,32029,0.37,0.11,0.87,0.01736,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,41146,0.37,0.12,0.1,0.001953,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,37571,0.31,0.56,0.03,0.030624,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,49905,0.31,0.21,0.87,0.00372,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,48374,0.31,0.11,0.1,0.005376,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,35183,0.31,0.12,0.03,0.058464,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,34310,0.31,0.56,0.87,0.00341,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,29342,0.31,0.21,0.1,0.001116,0
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,43091,0.31,0.11,0.03,0.155904,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,57493,0.32,0.12,0.87,0.00777,1
F,N,Working,Secondary / secondary special,Married,Municipal apartment,2,37,54179,0.31,0.56,0.1,0.001221,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,2,30,23875,0.32,0.21,0.03,0.038628,0
F,N,State servant,Secondary / secondary special,Single / not married,With parents,1,23,23451,0.32,0.11,0.87,0.01736,0
F,N,State servant,Secondary / secondary special,Single / not married,With parents,1,23,35902,0.32,0.12,0.1,0.001953,1
F,N,State servant,Secondary / secondary special,Single / not married,With parents,1,23,49990,0.32,0.56,0.03,0.029667,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,22792,0.31,0.21,0.87,0.00372,0
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,53432,0.31,0.11,0.1,0.005208,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,48555,0.32,0.12,0.03,0.056637,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,27696,0.37,0.56,0.87,0.00341,0
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,48045,0.37,0.21,0.1,0.001152,1
F,N,Working,Secondary / secondary special,Married,House / apartment,3,41,31794,0.37,0.11,0.03,0.151032,1
M,Y,Working,Higher education,Married,House / apartment,2,51,47169,0.31,0.12,0.87,0.00672,1
M,Y,Working,Incomplete higher,Married,With parents,2,29,35088,0.31,0.56,0.1,0.001056,1
M,Y,Working,Incomplete higher,Married,With parents,2,29,45865,0.31,0.21,0.03,0.033408,1
M,Y,Working,Incomplete higher,Married,With parents,2,29,20707,0.31,0.11,0.87,0.01792,0
M,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,25386,0.31,0.12,0.1,0.001953,0
M,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,57378,0.31,0.56,0.03,0.029667,1
M,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,52309,0.31,0.21,0.87,0.00384,1
M,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,42820,0.32,0.11,0.1,0.006216,1
M,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,48,33547,0.31,0.12,0.03,0.067599,1
M,Y,Commercial associate,Higher education,Married,House / apartment,2,57,44720,0.32,0.56,0.87,0.00407,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,55,47897,0.32,0.21,0.1,0.001116,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,55,22717,0.32,0.11,0.03,0.151032,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,55,27724,0.32,0.12,0.87,0.00651,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,55,54921,0.31,0.56,0.1,0.001023,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,55,25255,0.31,0.21,0.03,0.032364,0
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,42175,0.32,0.11,0.87,0.01736,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,42679,0.37,0.12,0.1,0.001953,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,55495,0.37,0.56,0.03,0.030624,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,36028,0.37,0.21,0.87,0.00372,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,35,21757,0.31,0.11,0.1,0.005376,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,47532,0.31,0.12,0.03,0.058464,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,22567,0.31,0.56,0.87,0.00352,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,33852,0.31,0.21,0.1,0.001152,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,47827,0.31,0.11,0.03,0.151032,1
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,29650,0.31,0.12,0.87,0.00651,0
F,N,Commercial associate,Secondary / secondary special,Married,House / apartment,4,28,28235,0.31,0.56,0.1,0.001056,0
F,N,Working,Secondary / secondary special,Married,House / apartment,2,28,43312,0.32,0.21,0.03,0.038628,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,28,48802,0.31,0.11,0.87,0.02072,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,28,56618,0.32,0.12,0.1,0.002331,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,28,59818,0.32,0.56,0.03,0.029667,1
F,Y,State servant,Secondary / secondary special,Unmarried,House / apartment,3,34,38753,0.32,0.21,0.87,0.00372,1
F,Y,State servant,Secondary / secondary special,Unmarried,House / apartment,3,34,20032,0.32,0.11,0.1,0.005208,0
F,Y,State servant,Secondary / secondary special,Unmarried,House / apartment,3,34,43446,0.31,0.12,0.03,0.056637,1
F,Y,State servant,Secondary / secondary special,Unmarried,House / apartment,3,34,56409,0.31,0.56,0.87,0.00341,1
F,Y,State servant,Secondary / secondary special,Unmarried,House / apartment,3,34,26665,0.32,0.21,0.1,0.001116,0
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,34,26350,0.37,0.11,0.03,0.151032,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,34,47845,0.37,0.12,0.87,0.00672,1
F,N,Working,Secondary / secondary special,Unmarried,House / apartment,2,34,54521,0.37,0.56,0.1,0.001023,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,56,39093,0.31,0.21,0.03,0.033408,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,56,52362,0.31,0.11,0.87,0.01792,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,59,31588,0.31,0.12,0.1,0.002016,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,59,55072,0.31,0.56,0.03,0.030624,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,58691,0.31,0.21,0.87,0.00372,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,43449,0.31,0.11,0.1,0.005208,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,44411,0.31,0.12,0.03,0.058464,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,32980,0.32,0.56,0.87,0.00407,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,55441,0.31,0.21,0.1,0.001332,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,44925,0.32,0.11,0.03,0.180264,1
M,N,Working,Secondary / secondary special,Married,Rented apartment,3,29,33047,0.32,0.12,0.87,0.00651,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,30595,0.32,0.56,0.1,0.001023,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,38805,0.32,0.21,0.03,0.032364,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,44539,0.31,0.11,0.87,0.01736,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,33178,0.31,0.12,0.1,0.001953,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,36961,0.32,0.56,0.03,0.029667,1
F,Y,Commercial associate,Higher education,Married,House / apartment,2,39,36230,0.37,0.21,0.87,0.00372,1
F,Y,Working,Higher education,Married,House / apartment,3,41,46482,0.37,0.11,0.1,0.005376,1
F,Y,Working,Higher education,Married,House / apartment,3,41,21574,0.37,0.12,0.03,0.056637,1
F,Y,Working,Higher education,Married,House / apartment,3,41,21297,0.31,0.56,0.87,0.00352,0
F,Y,Working,Higher education,Married,House / apartment,3,41,36947,0.31,0.21,0.1,0.001152,1
F,Y,Working,Higher education,Married,House / apartment,3,41,27805,0.31,0.11,0.03,0.155904,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,44693,0.31,0.12,0.87,0.00672,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,28007,0.31,0.56,0.1,0.001023,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,48357,0.31,0.21,0.03,0.032364,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,35976,0.31,0.11,0.87,0.01792,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,28228,0.32,0.12,0.1,0.002331,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,55926,0.31,0.56,0.03,0.035409,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,39115,0.32,0.21,0.87,0.00444,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,40283,0.32,0.11,0.1,0.005208,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,26423,0.32,0.12,0.03,0.056637,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,35626,0.32,0.56,0.87,0.00341,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,22303,0.32,0.21,0.1,0.001116,0
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,30361,0.31,0.11,0.03,0.151032,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,44454,0.31,0.12,0.87,0.00651,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,43907,0.32,0.56,0.1,0.001023,1
M,N,Working,Secondary / secondary special,Married,House / apartment,2,39,46968,0.37,0.21,0.03,0.033408,1
F,N,Working,Lower secondary,Unmarried,House / apartment,4,31,30575,0.37,0.11,0.87,0.01736,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,39188,0.37,0.12,0.1,0.002016,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,51968,0.31,0.56,0.03,0.030624,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,24918,0.31,0.21,0.87,0.00384,0
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,57523,0.31,0.11,0.1,0.005376,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,52112,0.31,0.12,0.03,0.056637,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,22098,0.31,0.56,0.87,0.00341,0
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,50415,0.31,0.21,0.1,0.001152,1
F,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,32,37697,0.31,0.11,0.03,0.180264,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,63,26239,0.32,0.12,0.87,0.00777,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,63,58663,0.31,0.56,0.1,0.001221,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,63,35701,0.32,0.21,0.03,0.032364,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,45831,0.32,0.11,0.87,0.01736,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,54927,0.32,0.12,0.1,0.001953,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,54403,0.31,0.56,0.03,0.029667,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,22015,0.37,0.21,0.87,0.00372,0
F,N,Working,Secondary / secondary special,Married,With parents,3,28,40909,0.37,0.11,0.1,0.005208,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,50065,0.37,0.12,0.03,0.056637,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,29638,0.31,0.56,0.87,0.00352,0
F,N,Working,Secondary / secondary special,Married,With parents,3,28,33748,0.31,0.21,0.1,0.001116,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,55411,0.31,0.11,0.03,0.155904,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,44953,0.31,0.12,0.87,0.00672,1
F,N,Working,Secondary / secondary special,Married,With parents,3,28,20693,0.31,0.56,0.1,0.001056,0
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,32645,0.32,0.21,0.03,0.033408,1
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,45755,0.31,0.11,0.87,0.01736,1
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,42721,0.32,0.12,0.1,0.001953,1
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,32837,0.32,0.56,0.03,0.030624,1
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,29631,0.32,0.21,0.87,0.00444,0
F,Y,State servant,Secondary / secondary special,Married,House / apartment,4,34,58191,0.31,0.11,0.1,0.006216,1
M,Y,Working,Secondary / secondary special,Married,With parents,2,24,54996,0.37,0.12,0.03,0.067599,1
M,Y,Working,Secondary / secondary special,Married,With parents,2,24,42542,0.37,0.56,0.87,0.00341,1
